trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-187.39092700683588,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-23.20382554786752,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-115.33203166154934,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-123.48929395576765,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,12,-22.481269914728635,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-209.6981259101707,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-131.35380614972098,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-160.38904252035533,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-93.70695929181801,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-112.2735337635547,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-62.67367702448045,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-21.38417241412923,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,4,-143.41503993875585,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-22.27368459632916,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-56.65798872455732,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,7,-101.16443733450477,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-30.172181592522488,"{0: 30, 1: 1, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,14,11.182034616575399,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,31.606986830551655,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,25.796174411448714,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",35,2,-25.946973294183778,"{0: 28, 1: 2, 2: 2, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,16,5.341440150598508,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-54.2379520861918,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,9.455914303152543,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,16,16.05711461938664,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,5,-15.208990202572288,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,10,-18.680273191888038,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,7,-85.0471217710245,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,12,-13.086323249192784,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,3,22.659493650379094,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
