trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99750312239746008}",20,0,-87.97257548150041,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99501247919268232}",20,0,-146.7638827225425,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.99252805481913842}",25,0,-4.564558100316188,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.99004983374916811}",35,0,-185.85694933479434,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.98757780049388144}",20,0,-131.97203991512458,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.98511193960306265}",20,0,-101.817331585566,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9826522356650732}",25,0,-129.39681920051922,"{0: 13, 1: 1, 2: 8, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.98019867330675525}",35,0,-150.22817427759458,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.97775123719333634}",20,0,-91.28644079337124,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.97530991202833262}",20,0,-132.52191672018162,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.972874682553454}",25,0,-124.47528073675528,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.97044553354850815}",20,0,-104.65835018795326,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.96802244983130603}",25,0,-108.15819514781717,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.96560541625756646}",25,12,-83.5349423886852,"{0: 5, 1: 4, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.96319441772082182}",25,0,-116.40930479148345,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.96078943915232318}",30,0,-201.47377692145605,"{0: 16, 1: 1, 2: 8, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.95839046552094698}",20,0,-33.734432383857104,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.95599748183309996}",30,0,-183.05093263390393,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.95361047313262637}",20,0,-122.21252873404165,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.95122942450071402}",25,0,-104.46395858270995,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.94885432105580125}",25,0,-67.58890034536165,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.94648514795348382}",20,0,-82.88951934368885,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.94412189038642214}",30,0,-56.95572003329974,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.94176453358424872}",30,0,-267.77345523432786,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 5}",0
25,False,"{'a': 0.5, 'e': 0.93941306281347581}",20,0,-136.50423895177804,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.93706746337740343}",25,0,-110.35900086525015,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.93472772061602749}",20,0,-139.1583502971412,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.93239381990594827}",20,0,-88.53237434037659,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.93006574666027853}",20,0,-186.13794351054509,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.92774348632855286}",25,0,-112.52951686369082,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.92542702439663682}",25,6,-50.15220542192516,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.92311634638663576}",25,0,-18.852064802382607,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.92081143785680453}",20,6,1.7634757265308687,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.91851228440145738}",25,7,-41.335228679326306,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.91621887165087756}",20,0,-185.9940853931481,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.91393118527122819}",30,0,-155.80694379662245,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.91164921096446172}",25,10,-28.004059319117665,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.90937293446823142}",20,0,-137.3051554281363,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.90710234155580172}",20,0,-76.08110962675877,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.90483741803595952}",20,0,-125.00335728349155,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.90257814975292561}",30,0,-264.8893317065509,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
42,False,"{'a': 0.5, 'e': 0.90032452258626561}",30,0,-61.0685109976366,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.89807652245080261}",25,0,-87.15919887990744,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.89583413529652822}",30,0,-154.3297785763483,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.89359734710851568}",30,0,-172.49170657724528,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.89136614390683133}",20,0,-56.01105279014268,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.88914051174644804}",20,0,-32.270159729184684,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.88692043671715748}",25,11,-6.271780181984103,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
