trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",25,0,-97.72560711242183,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,0,-44.87789394280736,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.125}",20,0,-19.22908762536153,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0625}",20,7,-18.662035938270776,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.03125}",35,0,-258.79180985365076,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 6}",0
6,False,"{'a': 0.5, 'e': 0.015625}",25,13,-61.810461408291225,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.0078125}",20,0,-101.31872100001209,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.00390625}",20,0,-32.472396018115454,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.001953125}",35,0,-45.72598237282308,"{0: 30, 1: 1, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.0009765625}",25,0,-33.88784370274362,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.00048828125}",25,0,-46.11149055530731,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.000244140625}",25,0,-7.202332495418866,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.0001220703125}",20,0,-72.70555461967074,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",20,0,-124.72803044342807,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",35,0,24.297896512381254,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",25,11,-26.400834075005815,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",20,0,10.655069128727968,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 3.814697265625e-06}",25,12,-21.045657485093862,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",30,0,37.52071414916316,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 9.5367431640625e-07}",20,0,-58.836461945361066,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,25.58551710019184,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-129.84837478059222,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-17.989142135519504,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,12,14.490313529267894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,19,-10.268587203463884,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-51.823062650151876,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-2.2524829905177937,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,0,7.086431284907506,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,6.307378567946738,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,2.6611030225082333,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
